Deputado,Partido,Estado,Votou
Covatti Filho,PP,RS,Sim
Cristiane Lopes,União,RO,Não
Da Vitoria,PP,ES,Sim
Daiana Santos,PCdoB,RS,Não
Dal Barreto,União,BA,Sim
Damião Feliciano,União,PB,Sim
Dandara,PT,MG,Não
Dani Cunha,União,RJ,Sim
Daniel Agrobom,PL,GO,Sim
Daniel Almeida,PCdoB,BA,Não
Daniel Barbosa,PP,AL,Não
Daniel Freitas,PL,SC,Sim
Daniel Trzeciak,PSDB,RS,Não
Daniela Reinehr,PL,SC,Sim
Daniela Waguinho,União,RJ,Sim
Danilo Forte,União,CE,Sim
Danrlei,PSD,RS,Sim
David Soares,União,SP,Sim
Dayany Bittencourt,União,CE,Sim
Def. Stélio Dener,Republican,RR,Sim
Del. Adriana A.,PT,GO,Não
Del. Bruno Lima,PP,SP,Não
Del. Éder Mauro,PL,PA,Sim
Del. Fabio Costa,PP,AL,Sim
Del. Matheus L.,União,PR,Sim
Delegada Ione,Avante,MG,Sim
Delegada Katarina,PSD,SE,Não
Delegado Bilynskyj,PL,SP,Sim
Delegado Caveira,PL,PA,Sim
Delegado Marcelo,União,MG,Sim
Delegado Palumbo,MDB,SP,Não
Delegado Ramagem,PL,RJ,Sim
Delegado da Cunha,PP,SP,Sim
Denise Pessôa,PT,RS,Não
Detinha,PL,MA,Sim
Diego Andrade,PSD,MG,Sim
Diego Coronel,PSD,BA,Sim
Diego Garcia,Republican,PR,Sim
Dilceu Sperafico,PP,PR,Sim
Dilvanda Faro,PT,PA,Sim
Dimas Fabiano,PP,MG,Sim
Dimas Gadelha,PT,RJ,Não
Domingos Sávio,PL,MG,Sim
Dorinaldo Malafaia,PDT,AP,Não
Douglas Viegas,União,SP,Não
Doutor Luizinho,PP,RJ,Sim
Dr Fernando Máximo,União,RO,Sim
Dr Victor Linhalis,Podemos,ES,Sim
Dr. Francisco,PT,PI,Sim
Dr. Frederico,PRD,MG,Sim
Dr. Ismael Alexand,PSD,GO,Sim
Dr. Jaziel,PL,CE,Sim
Dr. Luiz Ovando,PP,MS,Sim
Dr.Zacharias Calil,União,GO,Sim
Dra. Alessandra H.,MDB,PA,Sim
Duarte Jr.,PSB,MA,Não
Duda Ramos,MDB,RR,Sim
Duda Salabert,PDT,MG,Não
Eduardo Velloso,União,AC,Sim
Eduardo da Fonte,PP,PE,Sim
Eli Borges,PL,TO,Sim
Elmar Nascimento,União,BA,Sim
Ely Santos,Republican,SP,Sim
Emanuel Pinheiro N,MDB,MT,Não
Emidinho Madeira,PL,MG,Sim
Enf. Ana Paula,Podemos,CE,Sim
Enfermeira Rejane,PCdoB,RJ,Não
Eriberto Medeiros,PSB,PE,Sim
Erika Hilton,PSOL,SP,Não
Erika Kokay,PT,DF,Não
Eros Biondini,PL,MG,Sim
Euclydes Pettersen,Republican,MG,Sim
Evair de Melo,PP,ES,Sim
Fábio Macedo,Podemos,MA,Sim
Fabio Reis,PSD,SE,Não
Fabio Schiochet,União,SC,Sim
Fábio Teruel,MDB,SP,Sim
Fausto Pinato,PP,SP,Sim
Fausto Santos Jr.,União,AM,Sim
Felipe Becari,União,SP,Sim
Felipe Carreras,PSB,PE,Sim
Felipe Francischin,União,PR,Sim
Félix Mendonça Jr,PDT,BA,Sim
Fernanda Pessôa,União,CE,Sim
FernandaMelchionna,PSOL,RS,Não
Fernando Coelho,União,PE,Sim
Fernando Mineiro,PT,RN,Não
Fernando Monteiro,Republican,PE,Sim
Fernando Rodolfo,PL,PE,Sim
Filipe Barros,PL,PR,Sim
Filipe Martins,PL,TO,Sim
Flávia Morais,PDT,GO,Não
Flávio Nogueira,PT,PI,Sim
Florentino Neto,PT,PI,Sim
Franciane Bayer,Republican,RS,Sim
Fred Costa,PRD,MG,Sim
Fred Linhares,Republican,DF,Sim
Gabriel Mota,Republican,RR,Sim
Gabriel Nunes,PSD,BA,Sim
General Girão,PL,RN,Sim
General Pazuello,PL,RJ,Sim
Geovania de Sá,PSDB,SC,Sim
Geraldo Mendes,União,PR,Sim
Geraldo Resende,PSDB,MS,Não
Gervásio Maia,PSB,PB,Sim
Giacobo,PL,PR,Sim
Gilberto Abramo,Republican,MG,Sim
GilbertoNascimento,PSD,SP,Sim
Gilson Daniel,Podemos,ES,Não
Gilson Marques,Novo,SC,Não
Gilvan da Federal,PL,ES,Sim
Giovani Cherini,PL,RS,Sim
Gisela Simona,União,MT,Sim
Glauber Braga,PSOL,RJ,Não
Greyce Elias,Avante,MG,Sim
Guilherme Boulos,PSOL,SP,Não
Guilherme Uchoa,PSB,PE,Sim
Gustavo Gayer,PL,GO,Sim
Gustinho Ribeiro,Republican,SE,Sim
Gutemberg Reis,MDB,RJ,Sim
Helder Salomão,PT,ES,Não
Helena Lima,MDB,RR,Sim
Helio Lopes,PL,RJ,Sim
Henderson Pinto,MDB,PA,Sim
Hercílio Diniz,MDB,MG,Sim
Hildo Rocha,MDB,MA,Sim
Hugo Leal,PSD,RJ,Sim
Hugo Motta,Republican,PB,Sim
Ismael,PSD,SC,Sim
Isnaldo Bulhões Jr,MDB,AL,Sim
Ivan Valente,PSOL,SP,Não
Ivoneide Caetano,PT,BA,Não
Jack Rocha,PT,ES,Não
Jadyel Alencar,Republican,PI,Sim
Jandira Feghali,PCdoB,RJ,Não
Jeferson Rodrigues,Republican,GO,Sim
Jefferson Campos,PL,SP,Sim
Jilmar Tatto,PT,SP,Sim
João Cury,MDB,SP,Sim
João Daniel,PT,SE,Não
João Maia,PP,RN,Sim
Joaquim Passarinho,PL,PA,Sim
Jonas Donizette,PSB,SP,Sim
Jorge Braz,Republican,RJ,Sim
Jorge Goetten,Republican,SC,Sim
Jorge Solla,PT,BA,Não
José Guimarães,PT,CE,Não
José Medeiros,PL,MT,Sim
José Nelto,União,GO,Sim
José Priante,MDB,PA,Sim
José Rocha,União,BA,Sim
Joseildo Ramos,PT,BA,Não
Josenildo,PDT,AP,Sim
Josias Gomes,PT,BA,Não
JosimarMaranhãozi,PL,MA,Sim
Josivaldo JP,PSD,MA,Sim
Juarez Costa,MDB,MT,Não
Julia Zanatta,PL,SC,Sim
Juliana Cardoso,PT,SP,Não
Julio Arcoverde,PP,PI,Sim
Júlio Cesar,PSD,PI,Sim
Julio Cesar Ribeir,Republican,DF,Sim
Julio Lopes,PP,RJ,Sim
Juninho do Pneu,União,RJ,Sim
Junio Amaral,PL,MG,Sim
Júnior Ferrari,PSD,PA,Não
Junior Lourenço,PL,MA,Sim
Júnior Mano,PSB,CE,Sim
Juscelino Filho,União,MA,Sim
Keniston Braga,MDB,PA,Sim
Kiko Celeguim,PT,SP,Sim
Kim Kataguiri,União,SP,Não
Lafayette Andrada,Republican,MG,Sim
Laura Carneiro,PSD,RJ,Não
Lêda Borges,PSDB,GO,Sim
Lenir de Assis,PT,PR,Não
Leo Prates,PDT,BA,Sim
Leonardo Monteiro,PT,MG,Sim
Leur Lomanto Jr.,União,BA,Sim
Lídice da Mata,PSB,BA,Não
Lincoln Portela,PL,MG,Sim
Lindbergh Farias,PT,RJ,Não
Lindenmeyer,PT,RS,Não
Lucas Ramos,PSB,PE,Sim
Lucas Redecker,PSDB,RS,Não
Luciano Alves,PSD,PR,Não
Luciano Amaral,PSD,AL,Sim
Luciano Bivar,União,PE,Sim
Luciano Ducci,PSB,PR,Não
Lucio Mosquini,MDB,RO,Sim
Luis Carlos Gomes,Republican,RJ,Sim
Luis Tibé,Avante,MG,Sim
Luisa Canziani,PSD,PR,Sim
Luiz Carlos Busato,União,RS,Sim
Luiz Carlos Hauly,Podemos,PR,Não
Luiz Carlos Motta,PL,SP,Sim
Luiz Couto,PT,PB,Não
Luiz F. Vampiro,MDB,SC,Sim
Luiz Fernando,PSD,MG,Sim
Luiz Gastão,PSD,CE,Não
Luiz Lima,Novo,RJ,Não
Luiz Nishimori,PSD,PR,Não
Luiz P.O Bragança,PL,SP,Sim
LuizAntônioCorrêa,PP,RJ,Sim
Luiza Erundina,PSOL,SP,Não
Luizianne Lins,PT,CE,Não
Lula da Fonte,PP,PE,Sim
Magda Mofatto,PRD,GO,Sim
Marangoni,União,SP,Sim
Marcel van Hattem,Novo,RS,Não
Marcelo Álvaro,PL,MG,Sim
Marcelo Crivella,Republican,RJ,Sim
Marcelo Moraes,PL,RS,Sim
Marcio Alvino,PL,SP,Sim
Márcio Biolchi,MDB,RS,Sim
Márcio Honaiser,PDT,MA,Sim
Márcio Jerry,PCdoB,MA,Não
Márcio Marinho,Republican,BA,Sim
Marcon,PT,RS,Não
Marcos A. Sampaio,PSD,PI,Sim
Marcos Pereira,Republican,SP,Sim
Marcos Pollon,PL,MS,Sim
Marcos Soares,União,RJ,Sim
Marcos Tavares,PDT,RJ,Sim
Maria Arraes,Solidaried,PE,Não
Maria Rosas,Republican,SP,Sim
Maria do Rosário,PT,RS,Não
Mario Frias,PL,SP,Sim
Mário Heringer,PDT,MG,Sim
Mário Negromonte J,PP,BA,Sim
Marreca Filho,PRD,MA,Sim
Marussa Boldrin,MDB,GO,Sim
Marx Beltrão,PP,AL,Sim
Matheus Noronha,PL,CE,Sim
Maurício Carva lho,União,RO,Sim
Mauricio Marcon,Podemos,RS,Sim
Mauricio Neves,PP,SP,Sim
Mauricio do Vôlei,PL,MG,Sim
MauroBenevides Fo.,PDT,CE,Sim
Max Lemos,PDT,RJ,Sim
Meire Serafim,União,AC,Sim
Mendonça Filho,União,PE,Sim
Merlong Solano,PT,PI,Sim
Mersinho Lucena,PP,PB,Sim
Messias Donato,Republican,ES,Sim
Miguel Lombardi,PL,SP,Sim
Mis. José Olimpio,PL,SP,Sim
Misael Varella,PSD,MG,Sim
Moses Rodrigues,União,CE,Sim
Murillo Gouvea,União,RJ,Sim
Murilo Galdino,Republican,PB,Sim
Natália Bonavides,PT,RN,Não
Nelinho Freitas,MDB,CE,Sim
Nelson Barbudo,PL,MT,Sim
Nely Aquino,Podemos,MG,Sim
Neto Carletto,Avante,BA,Sim
Newton Cardoso Jr,MDB,MG,Sim
Nicoletti,União,RR,Sim
Nikolas Ferreira,PL,MG,Sim
Nilto Tatto,PT,SP,Não
Odair Cunha,PT,MG,Sim
Olival Marques,MDB,PA,Sim
Orlando Silva,PCdoB,SP,Não
Osmar Terra,PL,RS,Sim
Ossesio Silva,Republican,PE,Sim
Otoni de Paula,MDB,RJ,Não
Otto Alencar Filho,PSD,BA,Não
Padovani,União,PR,Sim
Padre João,PT,MG,Não
Pastor Claudio Mar,União,PA,Sim
Pastor Diniz,União,RR,Sim
Pastor Gil,PL,MA,Sim
Pastor Henrique V.,PSOL,RJ,Não
Pastor Isidório,Avante,BA,Não
Patrus Ananias,PT,MG,Não
Pauderney Avelino,União,AM,Sim
Paulão,PT,AL,Não
Paulinho da Força,Solidaried,SP,Sim
Paulo A. Barbosa,PSDB,SP,Não
Paulo Abi-Ackel,PSDB,MG,Sim
Paulo Azi,União,BA,Sim
Paulo Folletto,PSB,ES,Sim
Paulo Freire Costa,PL,SP,Sim
Paulo Guedes,PT,MG,Sim
Paulo Lemos,PSOL,AP,Não
Paulo Litro,PSD,PR,Sim
Paulo Magalhães,PSD,BA,Sim
Paulo Pimenta,PT,RS,Não
Pedro A ihara,PRD,MG,Sim
Pedro Campos,PSB,PE,Sim
Pedro Lucas F.,União,MA,Sim
Pedro Lupion,PP,PR,Sim
Pedro Paulo,PSD,RJ,Sim
Pedro Uczai,PT,SC,Não
Pedro Westphalen,PP,RS,Sim
Pezenti,MDB,SC,Sim
Pinheirinho,PP,MG,Sim
Pompeo de Mattos,PDT,RS,Não
Pr.Marco Feliciano,PL,SP,Sim
Prof Marcivania,PCdoB,AP,Não
Prof. Reginaldo V.,PV,DF,Não
Professor Alcides,PL,GO,Sim
Professora Luciene,PSOL,SP,Não
Rafael Brito,MDB,AL,Sim
Rafael Fera,Podemos,RO,Sim
Rafael Prudente,MDB,DF,Sim
Rafael Simoes,União,MG,Sim
Raimundo Costa,Podemos,BA,Sim
Raimundo Santos,PSD,PA,Sim
Reginaldo Lopes,PT,MG,Não
Reimont,PT,RJ,Não
Reinhold Stephanes,PSD,PR,Sim
Renata Abreu,Podemos,SP,Sim
Renilce Nicodemos,MDB,PA,Sim
Renildo Calheiros,PCdoB,PE,Não
Ribamar Silva,PSD,SP,Não
Ricardo Abrão,União,RJ,Sim
Ricardo Ayres,Republican,TO,Sim
Ricardo Barros,PP,PR,Sim
Ricardo Guidi,PL,SC,Sim
Ricardo Maia,MDB,BA,Sim
Robério Monteiro,PDT,CE,Sim
Roberta Roma,PL,BA,Sim
Roberto Duarte,Republican,AC,Sim
Roberto Monteiro,PL,RJ,Sim
Robinson Faria,PP,RN,Sim
Rodolfo Nogueira,PL,MS,Sim
Rodrigo Estacho,PSD,PR,Sim
Rodrigo Gambale,Podemos,SP,Sim
Rodrigo Rollemberg,PSB,DF,Não
Rodrigo Valadares,União,SE,Sim
Rodrigo da Zaeli,PL,MT,Sim
Rodrigo de Castro,União,MG,Sim
Rogéria Santos,Republican,BA,Sim
Rogério Correia,PT,MG,Não
Romero Rodrigues,Podemos,PB,Sim
Ronaldo Nogueira,Republican,RS,Sim
Rosana Valle,PL,SP,Sim
Rosangela Moro,União,SP,Não
Rosângela Reis,PL,MG,Sim
Rubens Otoni,PT,GO,Não
Rubens Pereira Jr.,PT,MA,Não
Rui Falcão,PT,SP,Não
Ruy Carneiro,Podemos,PB,Não
Sâmia Bomfim,PSOL,SP,Não
Samuel Santos,Podemos,GO,Sim
Samuel Viana,Republican,MG,Sim
Sanderson,PL,RS,Sim
Sargento Fahur,PSD,PR,Sim
Sargento Portugal,Podemos,RJ,Sim
Saulo Pedroso,PSD,SP,Não
Sergio Souza,MDB,PR,Sim
Sgt. Gonçalves,PL,RN,Sim
Sidney Leite,PSD,AM,Não
Silas Câmara,Republican,AM,Sim
Silvia Cristina,PP,RO,Sim
Silvye Alves,União,GO,Sim
Simone Marquetto,MDB,SP,Sim
Socorro Neri,PP,AC,Não
Soraya Santos,PL,RJ,Sim
Sóstenes Cavalcant,PL,RJ,Sim
Stefano Aguiar,PSD,MG,Sim
Tabata Amaral,PSB,SP,Não
Tadeu Veneri,PT,PR,Não
Talíria Petrone,PSOL,RJ,Não
Tarcísio Motta,PSOL,RJ,Não
Thiago de Joaldo,PP,SE,Sim
Tiago Dimas,Podemos,TO,Sim
Tião Medeiros,PP,PR,Sim
Tiririca,PL,SP,Sim
ToninhoWandscheer,PP,PR,Sim
Túlio Gadêl ha,Rede,PE,Não
Valmir Assunção,PT,BA,Não
Vander Loubet,PT,MS,Não
Vermelho,PP,PR,Sim
Vicentinho,PT,SP,Não
Vicentinho Júnior,PP,TO,Sim
Vinicius Carvalho,Republican,SP,Sim
Vinicius Gurgel,PL,AP,Sim
Vitor Lippi,PSDB,SP,Não
Waldemar Oliveira,Avante,PE,Sim
Waldenor Pereira,PT,BA,Não
Wellington Roberto,PL,PB,Sim
Welter,PT,PR,Não
Wilson Santiago,Republican,PB,Sim
Yury do Paredão,MDB,CE,Sim
Zé Adriano,PP,AC,Sim
Zé Neto,PT,BA,Não
Zé Trovão,PL,SC,Sim
Zé Vitor,PL,MG,Sim
ZéHaroldoCathedral,PSD,RR,Não
Zezinho Barbary,PP,AC,Sim
Zucco,PL,RS,Sim
